accuracy,loss,val_accuracy,val_loss
0.6471199989318848,0.7535779476165771,0.6483790278434753,0.7633082270622253
0.7735496163368225,0.5593717694282532,0.7456359267234802,0.5715433955192566
0.8138906359672546,0.45795485377311707,0.7880299091339111,0.46678227186203003
0.8384279608726501,0.393145352602005,0.7988362312316895,0.4251420497894287
0.8569349050521851,0.3462539315223694,0.832086443901062,0.37245118618011475
0.8650447130203247,0.3205742835998535,0.8403990268707275,0.33570170402526855
0.8823040127754211,0.2939631938934326,0.8653366565704346,0.3056778013706207
0.8814722299575806,0.2859317660331726,0.8703241944313049,0.2855306565761566
0.8891661763191223,0.27153074741363525,0.8736492395401001,0.28570541739463806
0.8924932479858398,0.26119887828826904,0.8819617629051208,0.27384716272354126
0.8945726752281189,0.2564680874347687,0.8902742862701416,0.26380008459091187
0.8968600630760193,0.25245022773742676,0.8886117935180664,0.25463375449180603
0.9062175154685974,0.2386118769645691,0.889443039894104,0.24738220870494843
0.9033063054084778,0.23753908276557922,0.8985868692398071,0.24072782695293427
0.9062175154685974,0.23029933869838715,0.8994181156158447,0.2362433224916458
0.9114161133766174,0.22572427988052368,0.8919368386268616,0.24348123371601105
0.9112081527709961,0.22380226850509644,0.895261824131012,0.23541194200515747
0.9058015942573547,0.22479628026485443,0.8935993313789368,0.24200645089149475
0.9110001921653748,0.22038866579532623,0.9118869304656982,0.22202996909618378
0.9064254760742188,0.2182665914297104,0.9093931913375854,0.22658009827136993
0.9149511456489563,0.21207238733768463,0.9135494828224182,0.22251634299755096
0.9151591062545776,0.2138318568468094,0.9168744683265686,0.22085979580879211
0.9172385334968567,0.20971693098545074,0.9068993926048279,0.22382213175296783
0.916822612285614,0.2118506133556366,0.9110556840896606,0.22829221189022064
0.9126637578010559,0.21279434859752655,0.9152119755744934,0.22722876071929932
0.9182782173156738,0.20315934717655182,0.8985868692398071,0.22955521941184998
0.9157829284667969,0.2067231386899948,0.9118869304656982,0.22232016921043396
